sample	Nonsynonymous	Synonymous
TCGA-4H-AAAK-01A-12D-A41F-09	18	3
TCGA-5L-AAT0-01A-12D-A41F-09	114	51
TCGA-5L-AAT1-01A-12D-A41F-09	895	323
TCGA-A1-A0SD-01A-11D-A10Y-09	29	6
TCGA-A1-A0SE-01A-11D-A099-09	25	9
TCGA-A1-A0SF-01A-11D-A142-09	38	11
TCGA-A1-A0SG-01A-11D-A142-09	22	5
TCGA-A1-A0SH-01A-11D-A099-09	77	26
TCGA-A1-A0SI-01A-11D-A142-09	151	56
TCGA-A1-A0SN-01A-11D-A142-09	54	11
TCGA-A1-A0SO-01A-22D-A099-09	263	63
TCGA-A2-A04N-01A-11D-A10Y-09	31	12
TCGA-A2-A04U-01A-11D-A10Y-09	49	11
TCGA-A2-A04W-01A-31D-A10Y-09	109	37
TCGA-A2-A0CK-01A-11D-A228-09	13	10
TCGA-A2-A0CS-01A-11D-A10Y-09	33	12
TCGA-A2-A0CW-01A-21D-A10Y-09	46	8
TCGA-A2-A0D3-01A-11D-A10Y-09	19	8
TCGA-A2-A0EN-01A-13D-A099-09	25	4
TCGA-A2-A0EP-01A-52D-A22X-09	13	1
TCGA-A2-A0ES-01A-11D-A10Y-09	10	5
TCGA-A2-A0EW-01A-21D-A10Y-09	15	1
TCGA-A2-A0ST-01A-12D-A099-09	13	8
TCGA-A2-A0SU-01A-11D-A099-09	26	8
TCGA-A2-A0SX-01A-12D-A099-09	21	9
TCGA-A2-A0SY-01A-31D-A099-09	102	41
TCGA-A2-A0T0-01A-22D-A099-09	142	37
TCGA-A2-A0T3-01A-21D-A10Y-09	28	12
TCGA-A2-A0T4-01A-31D-A099-09	22	7
TCGA-A2-A0T5-01A-21D-A099-09	16	0
TCGA-A2-A0T6-01A-11D-A099-09	12	6
TCGA-A2-A0T7-01A-21D-A099-09	17	4
TCGA-A2-A0YC-01A-11D-A117-09	18	2
TCGA-A2-A0YD-01A-11D-A10G-09	55	21
TCGA-A2-A0YE-01A-11D-A10G-09	22	13
TCGA-A2-A0YG-01A-21D-A10G-09	41	14
TCGA-A2-A0YH-01A-11D-A10G-09	66	19
TCGA-A2-A0YI-01A-31D-A10M-09	10	5
TCGA-A2-A0YJ-01A-11D-A10G-09	64	10
TCGA-A2-A0YK-01A-22D-A117-09	282	107
TCGA-A2-A0YL-01A-21D-A10G-09	24	13
TCGA-A2-A0YM-01A-11D-A10G-09	64	20
TCGA-A2-A0YT-01A-11D-A10G-09	46	8
TCGA-A2-A1FV-01A-11D-A13L-09	33	7
TCGA-A2-A1FW-01A-11D-A13L-09	52	25
TCGA-A2-A1FX-01A-11D-A13L-09	21	3
TCGA-A2-A1FZ-01A-51D-A17G-09	24	2
TCGA-A2-A1G0-01A-11D-A13L-09	17	3
TCGA-A2-A1G1-01A-21D-A13L-09	30	8
TCGA-A2-A1G6-01A-11D-A13L-09	7	3
